X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,latitude,longitude
13576.3115137294,32883.6548183002,22069,B06,OPP CEVA LOGISTICS,1.3136592287414268,103.70371465654196
13228.59241373,44206.3773183003,32071,B23,AFT TRACK 13,1.41605744961907,103.70058462060531
21045.1014137296,40242.0791183002,44331,B01,BLK 239,1.3802087592020567,103.77082366386563
41603.76401373,35413.1090182997,96081,B05,GRACE INDEPENDENT CH,1.3365350403205638,103.95555621067807
24568.73771373,30391.8459182996,11561,B05,BLK 166,1.2911273812629311,103.80248725185324
30951.5803137291,38079.6104183011,66191,B03,AFT CORFE PL,,
12476.8986137295,32211.5971183013,23389,B02A,PEC LTD,,
30329.4549137298,39373.9206183013,54411,B02,BLK 527,,
14993.3050137293,36905.6135183014,28531,B09,BLK 536,,
41642.8072137292,36513.8965183012,96139,B01,BLK 148,,
11485.30021373,34457.9814183004,23151,B16,CONTAINERS PRINTERS,,
22003.6972137298,35796.0165183004,42089,B02,OPP BT TIMAH PLAZA,,
7028.88571373001,35124.5075183008,25099,B02,OPTO-PHARM,,
22831.7490137294,47133.7638183013,46261,B09,BLK 808,,
26353.18561373,29283.4814183004,10339,B05,AFT BT MERAH CTRL,,
29542.7049137298,32678.9655183014,50011,B03,OPP PARISH OF CHRIST CH,,
18641.5038137296,38427.1322183013,43659,B01,ST ANTHONY'S PR SCH,,
32716.85391373,36256.6370183006,62099,B07,GAMBIR RIDGE,,
21565.1746137291,47016.1167182997,46709,B03,AFT BLK 1,,
23807.5230137296,47254.2775183003,46831,B03,BLK 747A CP,,
38386.8691137293,35012.3335183002,84409,B05,BLK 550,,
38213.9296137299,33910.163118301,84029,B04,OPP BLK 32,,
34191.5319137294,42138.9689183012,67319,B04,FARMWAY STN EXIT A,,
29837.8047137298,30566.3225183003,4149,B01,GRAND PARK CITY HALL,,
30646.1142137293,35394.1568183005,52429,B01,BLK 17A,,
20355.0461137295,31889.9557183012,17049,B08,BLK 601,,
34280.9867137298,42095.2304183003,67311,B03,FARMWAY STN EXIT B,,
42227.9555137297,39563.1564183012,78221,B06,BLK 231A CP,,
34065.7478137296,39047.4577182997,63359,B01,HOUGANG SWIM CPLX,,
36335.2960137296,38525.7410183009,64141,B13,AFT JLN TELAWI,,
36530.2647137297,32981.1799183004,83139,B07,AFT JOO CHIAT PL,,
29669.9342137296,40841.5136182997,55231,B02,OPP SBST ANG MO KIO DEPOT,,
28404.7686137296,41300.9235183001,55351,B03,OPP FUDU WALK P/G,,
37378.1868137298,32166.8110183012,92089,B10,CHIJ KATONG CON,,
33524.1535137296,31938.8618183006,80271,B06,OPP MOUNBATTEN STN,,
35142.5938137295,31500.4940183014,82059,B02,OPP TG KATONG RD STH P/G,,
44329.5150137292,39204.7395182997,97089,B02,OPP SELARANG PK DRUG REH.,,
40577.2556137294,40261.7576183006,77099,B06,BEF PASIR RIS AVE,,
28861.4837137293,31451.5698183011,8137,B08,ORCHARD PLAZA,,
20065.5246137297,37889.6314183008,43301,B02,OPP HILLBROOKS,,
16000.1755137295,46531.6371183004,49249,B08,AFT NEO TIEW RD,,
21505.8910137294,30250.882418301,16051,B25,THE CRYSTAL TABERNACLE CH,,
42469.6704137297,38513.226718301,98099,B02,BLK 269A,,
27045.3394137295,46944.9972182997,58019,B22,AFT SEMBAWANG SHOP CTR,,
28837.83201373,31358.0431182999,8111,B03,WINSLAND HSE,,
39154.2180137299,36991.4775182996,75201,B01,BLK 835,,
18122.4590137294,33567.7720183004,20251,B01,BEF TEBAN GDNS RD,,
31178.8778137295,44049.7746182997,68131,B09,OPP YOUTH FLYING CLUB,,
24962.72671373,33168.8752183001,11101,B09,FARRER RD MKT,,
26296.0874137292,28835.2323183008,14281,B06,SAFRA MT FABER,,
29366.8503137296,40337.0503183007,55509,NIL,YIO CHU KANG INT,,
28978.1488137292,34115.2762183007,50059,B10,OPP THOMSON MED CTR,,
41606.9708137298,37748.6933182999,76319,B02,TAMPINES EAST STN EXIT D,,
31309.9196137292,28237.5095183011,3411,B04,OPP MARINA STH PIER STN,,
32516.20481373,36201.146618301,62109,B09,AFT UPP S'GOON RD,,
22717.9161137296,29808.6504183002,15109,B07,LP 30,,
29106.4927137299,35383.2558182999,52141,B10,OPP BLK 139A,,
7483.87221372966,34052.2894183006,25379,NIL,AFT TUAS AVE 6,,
19236.2679137299,44492.9882183,45101,B25,AFT LP 234,,
22940.5046137292,35202.8527183011,42039,B30,OPP THE NEXUS,,
32805.5225137295,40198.8740183003,64121,B19,AFT ANG MO KIO AVE 5,,
28665.8522137292,39794.5296183005,54201,B05,OPP BLK 155,,
38518.2166137295,32807.2024183013,93089,B04,OPP GOODWILL CT,,
26738.9820137294,47784.7215183005,58151,B03,BEF SEMBAWANG STN,,
28372.1944137299,35907.9125183001,51069,B22,MT ALVERNIA HOSP,,
16128.92301373,39596.9366183002,30059,B15,OPP TRACK 14,,
40398.9284137292,33158.2454183009,94049,B16,AFT BEDOK STH AVE 3,,
15299.5549137294,37568.3248183001,28161,B11,BEF HONG KAH FLYOVER,,
32161.6782137295,41271.2802183013,67659,B03,AFT SENGKANG WEST RD,,
35742.5740137296,34492.5309183002,71101,B01,BLK 318,,
23189.6190137295,45541.3470182996,58479,B01,AFT INNOVA PRI SCH,,
14312.3453137297,36600.9294183012,21421,B03,BLK 176,,
25904.4582137298,29566.3600182999,10659,B02,BLK 1003,,
29140.6835137298,35390.7553183008,52149,B09,BLK 139A,,
42968.2620137297,35456.2726183012,96391,B01,AFT CHANGI BIZ PK CRES,,
22480.9897137294,29854.4989183005,16121,B05,GALEN,,
28316.0718137296,31418.5487182997,9059,B01,NATL YOUTH COUNCIL,,
30504.2506137295,39777.6140183005,54481,B14,ITE COLLEGE CTRL,,
26198.9330137298,31296.6016183011,13031,B06,OPP CHATSWORTH RD,,
21859.0532137295,33083.3876182996,12199,B03,OPP VILLAGE TWRS,,
15512.2941137291,37010.6732183006,28521,B05,BLK 457,,
14254.4932137299,33994.5469183009,21319,B13,OPP TRACTOR RD,,
36611.3272137297,42422.2582182996,65271,B08,OPP BLK 188,,
25905.28541373,30474.2729183007,10289,B08,OPP SIS BLDG,,
6893.65301372949,35080.8715183008,25509,B02,OPP KEE WEE HUP KEE,,
12527.7406137297,35857.3203183003,27301,B11,BLK 978,,
30218.7520137299,31126.4870183002,1013,B05,ST JOSEPH'S CH,,
23117.4738137294,30695.6604183,18099,B08,BEF AYER RAJAH CRES,,
36405.9170137299,41201.1750183012,67661,NIL,OPP BLK 178A,,
35248.0196137298,35114.8859183006,70071,B05,CYCLE & CARRIAGE,,
24554.4204137297,28837.5844183005,15051,B20,ALEXANDRA PT,,
28715.5192137295,34715.2388183009,51029,B14,OPP OLD POLICE ACAD,,
10662.1088137291,33838.9861182999,24011,B26,M.C PACKAGING PTE LTD,,
11906.7182137296,35674.4491183013,27149,B07,JUYING PR SCH,,
24494.8472137293,28567.912018301,15041,B22,ALEXANDRA RETAIL CTR,,
24532.3882137295,28552.9515183009,15049,B21,OPP ALEXANDRA RETAIL CTR,,
24082.1391137298,47571.1944182999,46809,NIL,OPP W'LANDS MART,,
29300.1395137291,39804.0514183007,54059,B08,BEF ANG MO KIO LIB,,
24480.8104137294,46239.8822183013,47551,B05,BLK 630,,
33981.2780137295,35537.1870183013,70291,B03,ASIAWIDE IND BLDG,,
34670.77881373,40581.2048183009,67601,NIL,BUANGKOK STN EXIT B,,
25091.2986137299,47516.439418301,46749,B03,OPP SEAGATE,,
34369.7680137297,32327.2421183009,81199,B02,BEF OLD AIRPORT RD,,
35074.3816137295,39972.9882183,64029,B10,OPP BLK 458,,
26832.2978137294,40790.3711182997,56061,B29,AFT TAGORE DR,,
17175.3598137293,32070.5747183003,29041,B03,BAN JOO,,
11807.72891373,35762.6876183003,27141,B04,BLK 920,,
