X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,Latitude,Longitude
13576.3115137294,32883.6548183002,22069,B06,OPP CEVA LOGISTICS,1.3136592287414268,103.70371465654196
13228.59241373,44206.3773183003,32071,B23,AFT TRACK 13,1.41605744961907,103.70058462060531
21045.1014137296,40242.0791183002,44331,B01,BLK 239,1.3802087592020567,103.77082366386563
41603.76401373,35413.1090182997,96081,B05,GRACE INDEPENDENT CH,1.3365350403205638,103.95555621067807
24568.73771373,30391.8459182996,11561,B05,BLK 166,1.2911273812629311,103.80248725185324
30951.5803137291,38079.6104183011,66191,B03,AFT CORFE PL,1.36065284474966,103.85984050327265
12476.8986137295,32211.5971183013,23389,B02A,PEC LTD,1.3075808587792161,103.6938362471088
30329.4549137298,39373.9206183013,54411,B02,BLK 527,1.3723581787950114,103.85425039174608
14993.3050137293,36905.6135183014,28531,B09,BLK 536,1.3500329540569644,103.71644530643835
41642.8072137292,36513.8965183012,96139,B01,BLK 148,1.346490131157816,103.95590753111487
11485.30021373,34457.9814183004,23151,B16,CONTAINERS PRINTERS,1.327895782087106,103.68492508845779
22003.6972137298,35796.0165183004,42089,B02,OPP BT TIMAH PLAZA,1.3400003836403087,103.77943824634058
7028.88571373001,35124.5075183008,25099,B02,OPTO-PHARM,1.333920829678867,103.64488147149282
22831.7490137294,47133.7638183013,46261,B09,BLK 808,1.4425350217938777,103.78687677491952
26353.18561373,29283.4814183004,10339,B05,AFT BT MERAH CTRL,1.281103866960222,103.81852132015383
29542.7049137298,32678.9655183014,50011,B03,OPP PARISH OF CHRIST CH,1.3118114354286772,103.8471805418033
18641.5038137296,38427.1322183013,43659,B01,ST ANTHONY'S PR SCH,1.36379437579768,103.74922614606365
32716.85391373,36256.6370183006,62099,B07,GAMBIR RIDGE,1.3441662986483343,103.87570237968538
21565.1746137291,47016.1167182997,46709,B03,AFT BLK 1,1.4414708021961251,103.77549539221738
23807.5230137296,47254.2775183003,46831,B03,BLK 747A CP,1.4436250668605695,103.79564504185524
38386.8691137293,35012.3335183002,84409,B05,BLK 550,1.3329118499769574,103.92665045580358
38213.9296137299,33910.163118301,84029,B04,OPP BLK 32,1.3229442826799396,103.92509613063537
34191.5319137294,42138.9689183012,67319,B04,FARMWAY STN EXIT A,1.3973637143985578,103.8889544820462
29837.8047137298,30566.3225183003,4149,B01,GRAND PARK CITY HALL,1.2927054206911286,103.8498320343934
30646.1142137293,35394.1568183005,52429,B01,BLK 17A,1.3363665880204822,103.85709545058756
20355.0461137295,31889.9557183012,17049,B08,BLK 601,1.3046750034486234,103.76462511725276
34280.9867137298,42095.2304183003,67311,B03,FARMWAY STN EXIT B,1.3969681400192482,103.88975829580997
42227.9555137297,39563.1564183012,78221,B06,BLK 231A CP,1.3740662100815444,103.96116688843784
34065.7478137296,39047.4577182997,63359,B01,HOUGANG SWIM CPLX,1.3694052337509268,103.88782357307151
36335.2960137296,38525.7410183009,64141,B13,AFT JLN TELAWI,1.3646864643929049,103.90821689759937
36530.2647137297,32981.1799183004,83139,B07,AFT JOO CHIAT PL,1.3145434110300676,103.90996726540158
29669.9342137296,40841.5136182997,55231,B02,OPP SBST ANG MO KIO DEPOT,1.3856306090508528,103.84832421131483
28404.7686137296,41300.9235183001,55351,B03,OPP FUDU WALK P/G,1.3897853924248587,103.8369557397906
37378.1868137298,32166.8110183012,92089,B10,CHIJ KATONG CON,1.3071783069974316,103.91758601725965
33524.1535137296,31938.8618183006,80271,B06,OPP MOUNBATTEN STN,1.3051177444690085,103.88295567903228
35142.5938137295,31500.4940183014,82059,B02,OPP TG KATONG RD STH P/G,1.3011529719486108,103.8974980154065
44329.5150137292,39204.7395182997,97089,B02,OPP SELARANG PK DRUG REH.,1.3708237344692453,103.98005066028507
40577.2556137294,40261.7576183006,77099,B06,BEF PASIR RIS AVE,1.3803848494330087,103.94633449285777
28861.4837137293,31451.5698183011,8137,B08,ORCHARD PLAZA,1.3007113279354892,103.84105940031577
20065.5246137297,37889.6314183008,43301,B02,OPP HILLBROOKS,1.3589338296802194,103.76202207392379
16000.1755137295,46531.6371183004,49249,B08,AFT NEO TIEW RD,1.4370875216410064,103.7254886956809
21505.8910137294,30250.882418301,16051,B25,THE CRYSTAL TABERNACLE CH,1.28985207164545,103.77496632902053
42469.6704137297,38513.226718301,98099,B02,BLK 269A,1.3645709274538294,103.96333835362277
27045.3394137295,46944.9972182997,58019,B22,AFT SEMBAWANG SHOP CTR,1.4408283459983695,103.82474002226803
28837.83201373,31358.0431182999,8111,B03,WINSLAND HSE,1.2998655060344662,103.84084687658643
39154.2180137299,36991.4775182996,75201,B01,BLK 835,1.3508102254659664,103.93354623998405
18122.4590137294,33567.7720183004,20251,B01,BEF TEBAN GDNS RD,1.31984793193005,103.7445637644887
31178.8778137295,44049.7746182997,68131,B09,OPP YOUTH FLYING CLUB,1.4146448393115534,103.86188357060918
24962.72671373,33168.8752183001,11101,B09,FARRER RD MKT,1.3162418939455365,103.80602713702807
26296.0874137292,28835.2323183008,14281,B06,SAFRA MT FABER,1.277050056311888,103.81800829497676
29366.8503137296,40337.0503183007,55509,NIL,YIO CHU KANG INT,1.381068439514507,103.845600747921
28978.1488137292,34115.2762183007,50059,B10,OPP THOMSON MED CTR,1.3248009448748141,103.8421077730112
41606.9708137298,37748.6933182999,76319,B02,TAMPINES EAST STN EXIT D,1.357657184766441,103.95558607829459
31309.9196137292,28237.5095183011,3411,B04,OPP MARINA STH PIER STN,1.2716443343311234,103.86305936752643
32516.20481373,36201.146618301,62109,B09,AFT UPP S'GOON RD,1.3436644941141618,103.87389941753821
22717.9161137296,29808.6504183002,15109,B07,LP 30,1.2858529099902145,103.78585694612023
29106.4927137299,35383.2558182999,52141,B10,OPP BLK 139A,1.3362680987137938,103.84326105790944
7483.87221372966,34052.2894183006,25379,NIL,AFT TUAS AVE 6,1.3242244310157547,103.64897048255013
19236.2679137299,44492.9882183,45101,B25,AFT LP 234,1.4186519309979795,103.75456868200239
22940.5046137292,35202.8527183011,42039,B30,OPP THE NEXUS,1.334636194136376,103.78785611256782
32805.5225137295,40198.8740183003,64121,B19,AFT ANG MO KIO AVE 5,1.3798184602897607,103.87649975516895
28665.8522137292,39794.5296183005,54201,B05,OPP BLK 155,1.3761621007574842,103.83930174515118
38518.2166137295,32807.2024183013,93089,B04,OPP GOODWILL CT,1.3129694061425838,103.9278299316065
26738.9820137294,47784.7215183005,58151,B03,BEF SEMBAWANG STN,1.448422495518622,103.82198706471199
28372.1944137299,35907.9125183001,51069,B22,MT ALVERNIA HOSP,1.341012925673096,103.8366629681397
16128.92301373,39596.9366183002,30059,B15,OPP TRACK 14,1.3743727501842935,103.72664846004517
40398.9284137292,33158.2454183009,94049,B16,AFT BEDOK STH AVE 3,1.3161434088270867,103.9447291735274
15299.5549137294,37568.3248183001,28161,B11,BEF HONG KAH FLYOVER,1.3560263988026449,103.71919686911941
32161.6782137295,41271.2802183013,67659,B03,AFT SENGKANG WEST RD,1.3895170142417974,103.87071449042921
35742.5740137296,34492.5309183002,71101,B01,BLK 318,1.3282117335250023,103.90288985515316
23189.6190137295,45541.3470182996,58479,B01,AFT INNOVA PRI SCH,1.4281338489469608,103.79009285768703
14312.3453137297,36600.9294183012,21421,B03,BLK 176,1.3472772020267723,103.71032660608905
25904.4582137298,29566.3600182999,10659,B02,BLK 1003,1.2836620950219624,103.81448931370022
29140.6835137298,35390.7553183008,52149,B09,BLK 139A,1.3363359202624885,103.84356828235867
42968.2620137297,35456.2726183012,96391,B01,AFT CHANGI BIZ PK CRES,1.336924750738029,103.96781700836529
22480.9897137294,29854.4989183005,16121,B05,GALEN,1.286267506840506,103.78372806031568
28316.0718137296,31418.5487182997,9059,B01,NATL YOUTH COUNCIL,1.3004127070409648,103.83615862720339
