X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE,Latitude,Longitude
30488.4949780812,30623.6937192036,0,,MRT,ESPLANADE MRT STATION,1.293224220626348,103.85567876678118
34559.9202095021,33299.8634681193,0,,MRT,PAYA LEBAR MRT STATION,1.317425954587381,103.89226281142382
29400.6352440536,31266.6879174244,0,,MRT,DHOBY GHAUT MRT STATION,1.2990393015319925,103.84590391251706
34190.3490648774,32303.7837687939,0,,MRT,DAKOTA MRT STATION,1.3084178423882502,103.88894182804675
31290.7150709015,32178.0185675687,0,,MRT,LAVENDER MRT STATION,1.307280911406089,103.8628872189794
34355.6219426855,40965.0918183001,0,,LRT,RENJONG LRT STATION,1.3867475608332511,103.89042870733766
21913.073988517,32634.602519156,0,,MRT,DOVER MRT STATION,1.3114096690255728,103.77862457077501
34573.6845807248,39243.5253687997,0,,MRT,HOUGANG MRT STATION,1.3711782898293314,103.89238778268404
19621.6523676487,40067.4726683004,0,,LRT,PHOENIX LRT STATION,1.3786293094241766,103.75803297634837
33521.188041663,33192.3398692854,0,,MRT,ALJUNIED MRT STATION,1.3164537540495649,103.88292925591135
36079.2654636044,42359.9594683006,0,,LRT,COVE LRT STATION,1.399361806134346,103.90591734245318
40901.4050508643,39435.3437680437,0,,MRT,PASIR RIS MRT STATION,1.3729109324585032,103.94924684964428
24398.5250256279,46921.1699183023,0,,MRT,ADMIRALTY MRT STATION,1.4406126453773145,103.80095581918914
36865.449651307,33699.8945673191,0,,MRT,KEMBANGAN MRT STATION,1.321043111260123,103.9129792739085
36147.9915052634,44300.4533182998,0,,LRT,PUNGGOL POINT LRT STATION,1.4169109000687052,103.90653544888949
21400.6610392686,46039.8359692923,0,,MRT,MARSILING MRT STATION,1.43264163935276,103.77401730548894
35482.5363039193,41820.0117183011,0,,LRT,COMPASSVALE LRT STATION,1.3944788768056753,103.90055510997281
27968.5642381269,44375.3125183005,0,,MRT,KHATIB MRT STATION,1.4175890633787522,103.83303610038104
33212.588625059,41556.1171683021,0,,LRT,LAYAR LRT STATION,1.3920928072182288,103.88015778573792
39697.6917315302,36424.6157183005,0,,MRT,TAMPINES WEST MRT STATION,1.345683529960256,103.93842946777471
40450.9194682281,37260.6211183008,0,,MRT,TAMPINES MRT STATION,1.353243748125379,103.94519801500984
41480.2335203869,37592.954218301,0,,MRT,TAMPINES EAST MRT STATION,1.3562487966558292,103.95444719279342
34120.6618498017,35286.0008180066,0,,MRT,TAI SENG MRT STATION,1.33538796036932,103.88831624849495
34909.1847110457,36028.7549183011,0,,MRT,TAI SENG FACILITY BUILDING,1.34210499119906,103.89540174652399
35251.6221249381,43348.0214687744,0,,LRT,SUMANG LRT STATION,1.408297697310243,103.89848054540886
42515.9269141817,35181.7817683006,0,,MRT,SUB STATION,1.334442579931052,103.9637523940666
27191.8447910167,33591.465267982,0,,MRT,STEVENS MRT STATION,1.3200637887801279,103.8260568830318
32677.4946757638,31687.8190683005,0,,MRT,STADIUM MRT STATION,1.3028475423479566,103.87534801772607
23978.936168617,34778.687218134,0,,MRT,SIXTH AVENUE MRT STATION,1.330800348232586,103.79718706989641
18203.7303038443,40252.0312682998,0,,LRT,SOUTH VIEW LRT STATION,1.3802979496051477,103.74529185400397
35112.9531980615,43006.5541183008,0,,LRT,SOO TECK LRT STATION,1.4052096261512401,103.89723440416252
28595.5018870044,31417.2294687887,0,,MRT,SOMERSET MRT STATION,1.3004007721282156,103.83866943256928
41358.4398206545,36153.1953176664,0,,MRT,SIMEI MRT STATION,1.343228212779495,103.95335216093379
32509.6861984848,36866.261717763,0,,MRT,SERANGOON MRT STATION,1.3496795581642842,103.8738409431395
32421.7993577711,36904.274718156,0,,MRT,SERANGOON MRT STATION,1.3500233472450518,103.87305123035749
34910.5154306281,41493.2987682989,0,,MRT,SENGKANG MRT STATION,1.3915243459444808,103.89541497290776
29499.1921504741,35829.5859172695,0,,MRT,BRADDELL MRT STATION,1.3403045327736305,103.84678971209156
29171.2881265699,33635.1464684648,0,,MRT,NOVENA MRT STATION,1.3204588144751632,103.84384321547941
30319.7540647982,32753.3789188907,0,,MRT,FARRER PARK MRT STATION,1.3124843552380472,103.85416271603579
38776.6168183416,34026.6679680731,0,,MRT,BEDOK MRT STATION,1.3239977164749885,103.9301522084603
26174.3859917113,30218.6718674695,0,,MRT,REDHILL MRT STATION,1.2895613909994832,103.81691468296857
45285.7611404619,37703.3066191517,0,,MRT,CHANGI AIRPORT MRT STATION,1.3572448158112822,103.98864230750915
36818.9254870314,41758.9506683005,0,,LRT,CORAL EDGE LRT STATION,1.3939262872273408,103.91256360255521
20422.7227663454,33040.3125183006,0,,MRT,CLEMENTI MRT STATION,1.3150784338732806,103.76523294227721
18676.2495621636,36788.6269185029,0,,MRT,BUKIT BATOK MRT STATION,1.348976344273895,103.74953886964049
36826.5072015957,42690.4836683001,0,,LRT,OASIS LRT STATION,1.4023507265541535,103.91263201288787
35453.9563530813,43730.3436682993,0,,LRT,NIBONG LRT STATION,1.4117552273380878,103.90029878780564
36421.336485092,42082.4734683007,0,,LRT,MERIDIAN LRT STATION,1.3968522269183208,103.90899104638348
