X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE
30488.4949780812,30623.6937192036,0,,MRT,ESPLANADE MRT STATION
34559.9202095021,33299.8634681193,0,,MRT,PAYA LEBAR MRT STATION
29400.6352440536,31266.6879174244,0,,MRT,DHOBY GHAUT MRT STATION
34190.3490648774,32303.7837687939,0,,MRT,DAKOTA MRT STATION
31290.7150709015,32178.0185675687,0,,MRT,LAVENDER MRT STATION
34355.6219426855,40965.0918183001,0,,LRT,RENJONG LRT STATION
21913.073988517,32634.602519156,0,,MRT,DOVER MRT STATION
34573.6845807248,39243.5253687997,0,,MRT,HOUGANG MRT STATION
19621.6523676487,40067.4726683004,0,,LRT,PHOENIX LRT STATION
33521.188041663,33192.3398692854,0,,MRT,ALJUNIED MRT STATION
36079.2654636044,42359.9594683006,0,,LRT,COVE LRT STATION
40901.4050508643,39435.3437680437,0,,MRT,PASIR RIS MRT STATION
24398.5250256279,46921.1699183023,0,,MRT,ADMIRALTY MRT STATION
36865.449651307,33699.8945673191,0,,MRT,KEMBANGAN MRT STATION
36147.9915052634,44300.4533182998,0,,LRT,PUNGGOL POINT LRT STATION
21400.6610392686,46039.8359692923,0,,MRT,MARSILING MRT STATION
35482.5363039193,41820.0117183011,0,,LRT,COMPASSVALE LRT STATION
27968.5642381269,44375.3125183005,0,,MRT,KHATIB MRT STATION
33212.588625059,41556.1171683021,0,,LRT,LAYAR LRT STATION
39697.6917315302,36424.6157183005,0,,MRT,TAMPINES WEST MRT STATION
40450.9194682281,37260.6211183008,0,,MRT,TAMPINES MRT STATION
41480.2335203869,37592.954218301,0,,MRT,TAMPINES EAST MRT STATION
34120.6618498017,35286.0008180066,0,,MRT,TAI SENG MRT STATION
34909.1847110457,36028.7549183011,0,,MRT,TAI SENG FACILITY BUILDING
35251.6221249381,43348.0214687744,0,,LRT,SUMANG LRT STATION
42515.9269141817,35181.7817683006,0,,MRT,SUB STATION
27191.8447910167,33591.465267982,0,,MRT,STEVENS MRT STATION
32677.4946757638,31687.8190683005,0,,MRT,STADIUM MRT STATION
23978.936168617,34778.687218134,0,,MRT,SIXTH AVENUE MRT STATION
18203.7303038443,40252.0312682998,0,,LRT,SOUTH VIEW LRT STATION
35112.9531980615,43006.5541183008,0,,LRT,SOO TECK LRT STATION
28595.5018870044,31417.2294687887,0,,MRT,SOMERSET MRT STATION
41358.4398206545,36153.1953176664,0,,MRT,SIMEI MRT STATION
32509.6861984848,36866.261717763,0,,MRT,SERANGOON MRT STATION
32421.7993577711,36904.274718156,0,,MRT,SERANGOON MRT STATION
34910.5154306281,41493.2987682989,0,,MRT,SENGKANG MRT STATION
29499.1921504741,35829.5859172695,0,,MRT,BRADDELL MRT STATION
29171.2881265699,33635.1464684648,0,,MRT,NOVENA MRT STATION
30319.7540647982,32753.3789188907,0,,MRT,FARRER PARK MRT STATION
38776.6168183416,34026.6679680731,0,,MRT,BEDOK MRT STATION
26174.3859917113,30218.6718674695,0,,MRT,REDHILL MRT STATION
45285.7611404619,37703.3066191517,0,,MRT,CHANGI AIRPORT MRT STATION
36818.9254870314,41758.9506683005,0,,LRT,CORAL EDGE LRT STATION
20422.7227663454,33040.3125183006,0,,MRT,CLEMENTI MRT STATION
18676.2495621636,36788.6269185029,0,,MRT,BUKIT BATOK MRT STATION
36826.5072015957,42690.4836683001,0,,LRT,OASIS LRT STATION
35453.9563530813,43730.3436682993,0,,LRT,NIBONG LRT STATION
36421.336485092,42082.4734683007,0,,LRT,MERIDIAN LRT STATION
18941.105134229,37861.2148683787,0,,MRT,BUKIT GOMBAK MRT STATION
35786.1482770151,33556.5332182968,0,,MRT,EUNOS MRT STATION
16821.8841155187,36026.8808682989,0,,MRT,CHINESE GARDEN MRT STATION
37245.2744870668,42390.6041683006,0,,LRT,KADALOOR LRT STATION
34742.7885343104,42015.7109683007,0,,LRT,CHENG LIM LRT STATION
35958.4787362017,43493.766417815,0,,LRT,SAM KEE LRT STATION
20111.5615655595,45244.9335685103,0,,MRT,KRANJI MRT STATION
29810.7297378631,39110.9228188503,0,,MRT,ANG MO KIO MRT STATION
37226.2554581165,41837.4971183007,0,,LRT,RIVIERA LRT STATION
19852.3936606116,40258.0680683007,0,,LRT,BUKIT PANJANG LRT DEPOT
21249.4826995728,40213.2871183029,0,,LRT,BANGKIT LRT STATION
23328.731213228,28746.904967513,0,,MRT,PASIR PANJANG MRT STATION
23852.2320731897,32658.9406684106,0,,MRT,HOLLAND VILLAGE MRT STATION
24627.7276466669,28319.1426183004,0,,MRT,LABRADOR PARK MRT STATION
25944.4372007684,33798.989568089,0,,MRT,BOTANIC GARDENS MRT STATION
22892.787205453,31340.9711183011,0,,MRT,ONE-NORTH MRT STATION
22555.3231554957,30657.4498190119,0,,MRT,KENT RIDGE MRT STATION
22269.9194826513,29434.1966173393,0,,MRT,HAW PAR VILLA MRT STATION
30421.0211236246,28690.6040681373,0,,MRT,MARINA BAY MRT STATION
22507.0642161843,35313.1056181339,0,,MRT,KING ALBERT PARK MRT STATION
29691.7248467095,32160.0604190043,0,,MRT,LITTLE INDIA MRT STATION
30128.9728970395,31806.7623179602,0,,MRT,ROCHOR MRT STATION
20106.1096987283,40512.8261186815,0,,LRT,SENJA LRT STATION
33499.9529869587,32063.7954176602,0,,MRT,MOUNTBATTEN MRT STATION
19899.2870234944,34677.957018469,0,,MRT,ULU PANDAN DEPOT
18097.7283751941,40778.1875183038,0,,MRT,CHOA CHU KANG MRT STATION
31126.969401678,33489.9993175969,0,,MRT,BOON KENG MRT STATION
33175.6902492463,36105.5944683002,0,,MRT,BARTLEY MRT STATION
20912.3632438491,41077.9042682998,0,,LRT,SEGAR LRT STATION
19329.3978870531,42100.1711033569,0,,MRT,GALI BATU DEPOT
20662.6060715725,38266.2889190523,0,,MRT,HILLVIEW MRT STATION
21596.1131852339,35920.5603680936,0,,MRT,BEAUTY WORLD MRT STATION
20861.8774227886,37391.4121676331,0,,MRT,HUME MRT STATION
20015.1018783492,40117.5857188323,0,,MRT,BUKIT PANJANG MRT STATION
20356.7604987319,39043.6140688384,0,,MRT,CASHEW MRT STATION
10746.7419800218,34438.8491872215,0,,MRT,JOO KOON MRT STATION
18434.6167707397,42157.591818219,0,,MRT,YEW TEE MRT STATION
28183.1708649672,45704.0039182941,0,,MRT,YISHUN MRT STATION
29277.6577297291,40416.798818146,0,,MRT,YIO CHU KANG MRT STATION
32173.0245805814,35702.9511683006,0,,MRT,WOODLEIGH MRT STATION
22751.8434177193,46505.0699683016,0,,MRT,WOODLANDS MRT STATION
42244.9498582375,36001.065218104,0,,MRT,UPPER CHANGI MRT STATION
29674.1274909388,29415.1003194087,0,,MRT,TELOK AYER MRT STATION
33855.7816297353,41251.6093683011,0,,LRT,TONGKANG LRT STATION
35332.4933303438,34686.1344684788,0,,MRT,UBI MRT STATION
29575.9244271167,34979.8847675937,0,,MRT,TOA PAYOH MRT STATION
27339.8354372226,29839.0625191721,0,,MRT,TIONG BAHRU MRT STATION
32711.5183860407,42147.0351183005,0,,LRT,THANGGAM LRT STATION
31091.5035755449,30601.0904687894,0,,MRT,PROMENADE MRT STATION
29938.6394823199,31016.9652183688,0,,MRT,BRAS BASAH MRT STATION
31385.7332037098,31350.8889190512,0,,MRT,NICOLL HIGHWAY MRT STATION
31987.5789576683,34857.140618341,0,,MRT,POTONG PASIR MRT STATION
15494.6095054167,36265.6426192379,0,,MRT,LAKESIDE MRT STATION
35652.9653355361,44179.6572183006,0,,LRT,SAMUDERA LRT STATION
35141.7568648502,40652.6113183004,0,,LRT,RANGGUNG LRT STATION
26539.3577045134,47860.021518301,0,,MRT,SEMBAWANG MRT STATION
35686.54506382,43001.0400692234,0,,LRT,PUNGGOL LRT STATION
35672.0421817391,40664.7460682999,0,,LRT,KANGKAR LRT STATION
34651.0431314765,33378.1230176432,0,,MRT,PAYA LEBAR MRT STATION
12875.5416420314,35529.5983497629,0,,MRT,PIONEER MRT STATION
30505.8040996609,31449.4287183538,0,,MRT,BUGIS MRT STATION
28509.9307752684,32731.8945678833,0,,MRT,NEWTON MRT STATION
33690.2350302527,41259.3613683003,0,,LRT,SENGKANG LRT DEPOT
23186.1706389804,32175.5497677857,0,,MRT,BUONA VISTA MRT STATION
28743.448245069,29168.1953183892,0,,MRT,OUTRAM PARK MRT STATION
30382.1607220536,28772.7568689587,0,,MRT,MARINA BAY MRT STATION
29407.9349136298,31235.5127181366,0,,MRT,DHOBY GHAUT MRT STATION
29128.2511916249,29644.9150178583,0,,MRT,CHINATOWN MRT STATION
42378.6005561035,35266.4190180117,0,,MRT,EXPO MRT STATION
30014.3760143566,29591.9033178472,0,,MRT,RAFFLES PLACE MRT STATION
34096.1321503113,35956.7210181136,0,,MRT,KIM CHUAN DEPOT
7491.63898834942,33703.1240186242,0,,MRT,TUAS CRESCENT MRT STATION
6124.01452775614,35834.7888679687,0,,MRT,TUAS LINK MRT STATION
6439.43882578757,34694.0483184365,0,,MRT,TUAS WEST ROAD MRT STATION
29813.0514413419,32138.5210682982,0,,MRT,LITTLE INDIA MRT STATION
26108.9308613102,33843.4002172413,0,,MRT,BOTANIC GARDENS MRT STATION
31068.6868194595,30578.088067812,0,,MRT,PROMENADE MRT STATION
30161.2577990277,30581.0078184368,0,,MRT,CITY HALL MRT STATION
28630.5817989709,29328.9520694129,0,,MRT,OUTRAM PARK MRT STATION
29653.5311892067,36989.9902675957,0,,MRT,BISHAN MRT STATION
33838.4680466064,41066.5735691482,0,,MRT,SENGKANG MRT DEPOT
42271.2706035197,35194.3652188162,0,,MRT,EXPO MRT STATION
32777.0254223559,41545.9042682991,0,,LRT,FERNVALE LRT STATION
42191.5673787612,34608.8085673121,0,,MRT,CHANGI DEPOT
35681.6969826748,42992.2247683005,0,,MRT,PUNGGOL MRT STATION
34652.5204608693,40503.0898683007,0,,MRT,BUANGKOK MRT STATION
36035.7910137295,41115.2382683009,0,,LRT,BAKAU LRT STATION
34239.2013313067,42116.6582183,0,,LRT,FARMWAY LRT STATION
24101.9118001315,31643.4042682994,0,,MRT,COMMONWEALTH MRT STATION
33347.9568787592,42231.1543183001,0,,LRT,KUPANG LRT STATION
36367.0616213391,43018.3519683004,0,,LRT,DAMAI LRT STATION
24964.7142218789,30777.0810683005,0,,MRT,QUEENSTOWN MRT STATION
32228.8795035946,32635.9072183491,0,,MRT,KALLANG MRT STATION
36076.2992971822,41497.7695183007,0,,LRT,RUMBIA LRT STATION
20581.1330441983,39971.3594174851,0,,LRT,PETIR LRT STATION
29830.932765646,37025.4515674207,0,,MRT,BISHAN MRT STATION
13827.2254618806,35638.5820183001,0,,MRT,BOON LAY MRT STATION
18617.2661422868,40068.302717854,0,,LRT,KEAT HONG LRT STATION
20345.6414167548,40964.2500176788,0,,LRT,JELAPANG LRT STATION
18121.3406123164,40751.7382688541,0,,LRT,CHOA CHU KANG LRT STATION
34923.0991498711,41528.4631686378,0,,LRT,SENGKANG LRT STATION
26741.815863956,27566.0914687993,0,,MRT,HARBOURFRONT MRT STATION
21093.4943271553,39787.7988188429,0,,LRT,PENDING LRT STATION
29453.5960185779,30059.0693189399,0,,MRT,CLARKE QUAY MRT STATION
30551.841627811,37079.5605686387,0,,MRT,BISHAN DEPOT
20177.0476435355,39987.7773685368,0,,LRT,BUKIT PANJANG LRT STATION
21047.6245039066,40719.6191190029,0,,LRT,FAJAR LRT STATION
