X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE,Latitude,Longitude
30488.4949780812,30623.6937192036,0,,MRT,ESPLANADE MRT STATION,1.29133990707454,103.854609475029
34559.9202095021,33299.8634681193,0,,MRT,PAYA LEBAR MRT STATION,1.31810656871073,103.893158734867
29400.6352440536,31266.6879174244,0,,MRT,DHOBY GHAUT MRT STATION,1.29868872290409,103.846179896647
34190.3490648774,32303.7837687939,0,,MRT,DAKOTA MRT STATION,1.30843144331463,103.889268208422
31290.7150709015,32178.0185675687,0,,MRT,LAVENDER MRT STATION,1.30750657093807,103.86293845244
34355.6219426855,40965.0918183001,0,,LRT,RENJONG LRT STATION,1.38670058991904,103.89062131608
21913.073988517,32634.602519156,0,,MRT,DOVER MRT STATION,1.31139153717332,103.778656381761
34573.6845807248,39243.5253687997,0,,MRT,HOUGANG MRT STATION,1.37033472429161,103.892261757937
19621.6523676487,40067.4726683004,0,,LRT,PHOENIX LRT STATION,1.37861545104083,103.757995558346
33521.188041663,33192.3398692854,0,,MRT,ALJUNIED MRT STATION,1.3164326118157,103.882906044385
36079.2654636044,42359.9594683006,0,,LRT,COVE LRT STATION,1.39928198837342,103.905961941214
40901.4050508643,39435.3437680437,0,,MRT,PASIR RIS MRT STATION,1.37300805046319,103.949265083922
24398.5250256279,46921.1699183023,0,,MRT,ADMIRALTY MRT STATION,1.44058856161847,103.800990519771
36865.449651307,33699.8945673191,0,,MRT,KEMBANGAN MRT STATION,1.32104702761608,103.91292554527
36147.9915052634,44300.4533182998,0,,LRT,PUNGGOL POINT LRT STATION,1.41684852031206,103.906650789313
21400.6610392686,46039.8359692923,0,,MRT,MARSILING MRT STATION,1.43262603485889,103.774051197031
35482.5363039193,41820.0117183011,0,,LRT,COMPASSVALE LRT STATION,1.39449304450373,103.900492450944
27968.5642381269,44375.3125183005,0,,MRT,KHATIB MRT STATION,1.41758906054002,103.833061043125
33212.588625059,41556.1171683021,0,,LRT,LAYAR LRT STATION,1.39207983659997,103.880029600546
39697.6917315302,36424.6157183005,0,,MRT,TAMPINES WEST MRT STATION,1.3456336579777,103.938492495285
40450.9194682281,37260.6211183008,0,,MRT,TAMPINES MRT STATION,1.35619148271544,103.9546344625
41480.2335203869,37592.954218301,0,,MRT,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625
34120.6618498017,35286.0008180066,0,,MRT,TAI SENG MRT STATION,1.33533999302463,103.888265446029
34909.1847110457,36028.7549183011,0,,MRT,TAI SENG FACILITY BUILDING,,
35251.6221249381,43348.0214687744,0,,LRT,SUMANG LRT STATION,1.40845241943079,103.898558450395
42515.9269141817,35181.7817683006,0,,MRT,SUB STATION,1.36988088877856,103.994191774835
27191.8447910167,33591.465267982,0,,MRT,STEVENS MRT STATION,1.32006555750626,103.826024401924
32677.4946757638,31687.8190683005,0,,MRT,STADIUM MRT STATION,1.3028124684707,103.875337711089
